id,SalePrice
1461,116736.31883894035
1462,151922.62743704685
1463,172780.63163113745
1464,199311.40541395836
1465,195766.22415608156
1466,181935.57287963864
1467,199477.44335791084
1468,171767.27132746263
1469,206986.68766286864
1470,113569.74508119829
1471,205118.7665097058
1472,118782.09454648977
1473,99262.28490910248
1474,149980.3345546465
1475,118470.5449006398
1476,312912.2271081024
1477,245959.9873419212
1478,291077.8608458502
1479,270985.026594635
1480,403465.25145748246
1481,292639.71762056754
1482,216564.19000522408
1483,176970.8043150379
1484,174800.27929999738
1485,197406.06428134337
1486,209424.72070840176
1487,284862.231740069
1488,257935.27247370116
1489,184417.69962132222
1490,230589.48420597834
1491,211356.93862062704
1492,88161.18885840976
1493,217209.5190511829
1494,288921.51975585066
1495,276756.03663422226
1496,222567.99378194835
1497,169506.08102088247
1498,155881.5338285676
1499,162577.01524289337
1500,154195.19150883902
1501,200377.6217801083
1502,142356.77202814713
1503,276572.64515794243
1504,247004.99915791966
1505,225278.43782045215
1506,205777.5734328822
1507,249313.98359324492
1508,205070.45742234297
1509,153415.81005779922
1510,145438.74165608024
1511,145725.66975092783
1512,189706.20640801976
1513,165923.35578368104
1514,151859.92778313893
1515,226571.36874880653
1516,169862.7891205327
1517,174846.48972383083
1518,122993.08935280133
1519,246462.14692024107
1520,129259.31995711906
1521,122709.22649286536
1522,202133.62062017305
1523,85049.72824334016
1524,113091.63312314602
1525,101588.99210427434
1526,88642.3208021539
1527,93730.61847468198
1528,155161.18628878158
1529,127058.13314886892
1530,236683.7207239197
1531,149364.5375912817
1532,108935.30223551637
1533,149209.8954606125
1534,129728.26594680303
1535,155973.9088120734
1536,105863.61084866163
1537,26416.358021380496
1538,186978.463117079
1539,231616.8623967279
1540,106489.11650722346
1541,155164.9800617526
1542,140019.3016945267
1543,195767.75123036082
1544,75747.02737507096
1545,134374.18088763172
1546,137070.34763263317
1547,143697.9965649274
1548,139743.61682909273
1549,124590.84122905962
1550,123624.1317487316
1551,132884.9837085927
1552,129411.08471104095
1553,155966.3213124877
1554,125683.48661517946
1555,168151.039427827
1556,76836.02397699247
1557,86266.35077784874
1558,92917.74574862386
1559,67088.54402880429
1560,126652.71779715188
1561,123287.22778662934
1562,117992.36055636953
1563,118155.50700863206
1564,152154.89251628832
1565,133680.43776220817
1566,245870.35868698137
1567,59630.22396734415
1568,225195.54993882927
1569,92034.16558662744
1570,145820.916569183
1571,111693.73164115392
1572,140716.89980848308
1573,253882.78948160994
1574,118461.8560365549
1575,243662.24611700198
1576,246484.34397358366
1577,199124.35084300663
1578,147344.61570028577
1579,133812.61182703136
1580,208931.22263264388
1581,143009.82417982852
1582,122741.64111856779
1583,307456.4423144822
1584,228817.3667945281
1585,156167.59312095458
1586,46623.319577473565
1587,97046.81024918298
1588,148666.61774735304
1589,99618.15469789843
1590,135577.96852258488
1591,65317.025864071096
1592,134737.56916777708
1593,137079.2490488753
1594,124868.44542792568
1595,113962.68810962548
1596,221753.29477909056
1597,174290.53307077603
1598,204055.3945834349
1599,198615.2276799063
1600,185511.87334824994
1601,26279.73765670962
1602,122329.87055251154
1603,56505.68426049908
1604,258203.1019390399
1605,261237.29303129006
1606,175990.45067759708
1607,173438.59434856533
1608,222417.60713378957
1609,196883.6948850163
1610,152844.48145521
1611,158261.20034160733
1612,165562.69763969246
1613,171576.8877340582
1614,129504.76687710651
1615,61712.63951494044
1616,41280.19568388944
1617,64414.83649863477
1618,111194.98532201734
1619,149714.25788801338
1620,176602.6555929255
1621,133106.97739000397
1622,130190.25656934397
1623,265209.25443861715
1624,211290.83026641852
1625,119558.65211128083
1626,195921.01136565127
1627,193960.32856602815
1628,280478.46362544957
1629,194274.2741208676
1630,325368.7748040672
1631,216665.70666571695
1632,235789.1396437072
1633,187335.92271378997
1634,195943.59640887158
1635,187372.5177474484
1636,165062.6693287968
1637,198385.67236527905
1638,221497.64038139686
1639,205355.16627530463
1640,271180.0973339706
1641,201747.71994621016
1642,228091.1877453624
1643,229323.9202640158
1644,234118.54956097284
1645,235657.52977048245
1646,178455.42005551967
1647,173741.42947793857
1648,134228.69457435154
1649,135839.50838260783
1650,114788.00361906749
1651,109345.15075612778
1652,124092.07222079125
1653,123914.65957871813
1654,151966.61803417222
1655,151062.15333158372
1656,141761.37049073807
1657,155324.78844837367
1658,144870.71343332587
1659,135379.950521818
1660,144105.2618677836
1661,377390.38112192124
1662,328551.6389667691
1663,326820.6563263837
1664,423884.9291246884
1665,286981.00492470094
1666,291644.7288925991
1667,308270.5704618668
1668,307330.8540688475
1669,291102.5329538848
1670,308871.8335307619
1671,268506.3540304658
1672,385525.22426626494
1673,285724.3691865088
1674,256807.53353894514
1675,192579.55238876876
1676,200098.88790023036
1677,218671.55839836493
1678,401908.9065889841
1679,325798.96920842805
1680,288673.28967647406
1681,251423.57283107878
1682,288553.8325363052
1683,198184.80028634553
1684,201297.13363533688
1685,178688.99423484004
1686,178620.4930078088
1687,179363.92695962905
1688,210743.96057536325
1689,207756.83371006942
1690,214343.74537062726
1691,201934.81554068474
1692,262166.04073348304
1693,180356.2240419233
1694,193312.25241830794
1695,181480.69792800548
1696,275848.039861624
1697,185746.54946913
1698,323922.5416603548
1699,303680.4626820561
1700,254172.78740716784
1701,281892.9139966237
1702,256382.93849133456
1703,259203.24395633943
1704,280474.62581889716
1705,241241.35362777615
1706,374787.84602636483
1707,200522.31256735174
1708,206344.1751564365
1709,265229.3274129544
1710,235485.93245834822
1711,266969.6437608389
1712,262616.75390429713
1713,263227.3655510837
1714,224251.9332314789
1715,205283.14552046626
1716,184497.69190747116
1717,189934.08242309734
1718,129368.17879147164
1719,213970.41882918205
1720,246812.68776430713
1721,181016.33589004667
1722,116971.82207512588
1723,162878.86122726148
1724,224633.4216590597
1725,238990.22930297174
1726,186178.34535759024
1727,153741.9306989879
